//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	100	6710	0	0	0	0	0	0	0	0	255	255	255	255	255	20	0	// Reset Fruit Strength
1010	1010	100	6711	0	0	0	0	0	0	0	0	255	255	255	255	255	20	0	// Reset Fruit Quickness
1020	1020	100	6712	0	0	0	0	0	0	0	0	255	255	255	255	255	20	0	// Reset Fruit Health
1030	1030	100	6713	0	0	0	0	0	0	0	0	255	255	255	255	255	20	0	// Reset Fruit Energy
1040	1040	30	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	30	86400	// Wizards Ring (1 Days)
1040	1041	75	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	30	259200	// Wizards Ring (3 Days)
1040	1042	150	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	30	604800	// Wizards Ring (7 Days)
1050	1050	500	7259	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Summoner Character Card (1 UN)
1060	1060	500	7337	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// RageFighter Character Card (1 UN)
1070	1070	30	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Imp (1 Days)
1070	1071	75	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	255	259200	// Imp (3 Days)
1070	1072	150	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	255	604800	// Imp (7 Days)
1080	1080	10	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Scroll of Quickness (1 Days)
1080	1081	25	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	255	259200	// Scroll of Quickness (3 Days)
1080	1082	50	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	255	604800	// Scroll of Quickness (7 Days)
1080	1083	100	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	255	1296000	// Scroll of Quickness (15 Days)
1080	1084	200	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	255	2592000	// Scroll of Quickness (30 Days)
1090	1090	30	6656	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Guardian Angel (1 Days)
1090	1091	75	6656	0	0	0	0	0	0	0	0	255	255	255	255	255	255	259200	// Guardian Angel (3 Days)
1090	1092	150	6656	0	0	0	0	0	0	0	0	255	255	255	255	255	255	604800	// Guardian Angel (7 Days)
